,company_id,company_name,description,job_id,job_title,locations,locations_count,publish_date,summary
18,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Google's projects, like our users, span the globe and require managers to keep the big picture in focus. As a Program Manager at Google, you lead complex, multi-disciplinary projects. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating goals to project stakeholders. Your projects often span offices, time zones and hemispheres, and it's your job to keep all the players coordinated on the project's progress and deadlines.</p>
<p>As a Partner Program Manager you will be responsible for bridging the gap between partners and AR/VR teams to ensure partners can launch high-quality experiences on time and without incident. This includes having a strong understanding of AR technology and partner capabilities, and anticipating risks in the integration of the two. You will also be responsible for clearly communicating goals to project stakeholders, as well as ushering partners through key milestones and key stages of launching immersive experiences.</p>

<p>You will work closely with the rest of the AR/VR Business Development team as well as  broader Product, Engineering, Marketing, Legal and cross-PA Google teams. A major part of the role will be to  serve as a subject matter expert for partners on AR/VR technology and to provide strategic guidance back to AR/VR on how our products can best leverage partner content/capabilities.</p><p>The Google Augmented Reality and Virtual Reality team is a group of engineers, designers, and research scientists tasked with building the foundations for great immersive computing and prototyping helpful, delightful user experiences. We're focused on making immersive computing accessible to billions of people through mobile devices, and our scope continues to grow and evolve.</p>",jobs/114581916130124486,"Partner Program Manager, AR and Lens","['Mountain View, CA, USA']",1,2020-02-21T17:30:58.683Z,"<ul>
<li>10 years of experience working as a Program Manager, Technical Program Manager, Product Manager or Project Manager.</li>
<li>7 years of experience managing clients and partners.</li>
<li>5 years of experience working with 3D modeling, 3D graphics, or Augmented Reality.
</li>
<li>5 years of experience using HTML.</li>
</ul>"
19,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>At Google, we work at lightning speed. So when things get in the way of progress, the Business Systems Integration team steps in to remove those roadblocks. The team identifies time-consuming internal processes and then builds solutions that are reliable and scalable enough to work within the size and scope of the company. You listen to and translate Googler needs into high-level technical specifications, design and develop recommended systems and consult with Google executives to ensure smooth implementation. Whether battling large system processes or leveraging our homegrown suite of Google products for Googlers themselves, you help Googlers work faster and more efficiently.</p>
<p>Google Cloud is one of Google’s fastest growing product areas, enabling digital transformations for organizations of all sizes, operating in all industries and geographies. Cloud Systems is a newly formed team supporting Google Cloud’s growth. Our team works with Google Cloud’s business leaders to identify strategic priorities and design and implement best in industry technology systems solutions to support them.</p>
<p>
Partner sales is a strategic priority for Google Cloud in 2020. It will be one of the primary business drivers of our business. This role will be a leader on the Cloud Systems team supporting partner sales. As such, we are looking for someone with a deep level of expertise in enterprise partner sales rewards systems, who is passionate about leading a team and partnering with business stakeholders to drive growth for Google Cloud. </p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.</p>",jobs/124243293102842566,"Senior Manager, Business Systems, Partner Sales Rewards/Incentives","['Sunnyvale, CA, USA']",1,2019-11-26T21:38:23.051Z,"<ul>
<li>5 years of experience in enterprise CRM systems</li>
<li>Experience managing a team of business analysts, product owners, and/or engineering.</li>
<li>Experience gathering requirements and refining business processes in a partner sales rewards domain (i.e., VAD and VAR, developing systems to receive the right incentives)</li>
</ul>"
0,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>As Privacy Counsel at Google, you work on the most exciting legal issues as disruptive technological innovations require creative and proactive legal guidance. You're part of a whip-smart group of in-house lawyers and the projects and cases you take on challenge you to think big and differently. You are collaborative -- ready to partner in initiatives that influence all aspects of the business and work with Googlers from all over the company. As an integrated part of the team, you proactively assess legal risks and advise on products that will not only move information into the 21st century, but move information law forward as well.</p>
<p>Our Privacy legal team has multiple openings with different focus areas.  We are targeting candidates with experience in one or more of the following areas:<br>
1) Experience advising on compliance with global privacy regulations, including on health, payments, and/or children’s privacy-specific regulations;  <br>
2) Experience advising on responding to suspected data breaches; <br>
3) Experience designing compliance programs, policies, and processes;<br> 
4) Experience counseling on privacy issues in advertising technology. <br>
5) Experience counseling and negotiating data protection terms in enterprise agreements.</p><p>20th century laws don't always solve 21st century problems, and Google Legal crafts innovative approaches for handling some of the toughest legal challenges of the information age. Whether you're a patent attorney, an intellectual property expert or an engineer headed to law school, Google Legal lets you take on unanswered legal quandaries and create new precedents. Our innovative services raise challenging questions that demand creative and practical answers. We provide those answers by working at the crossroads of the law and new technology, helping Google build innovative and important products for users around the world.</p>",jobs/127269359581045446,Privacy Counsel,"['San Francisco, CA, USA', 'Mountain View, CA, USA']",2,2020-03-10T18:01:29.690Z,"<ul>
<li>J.D. or equivalent degree.</li>
<li>4 years of attorney level experience.
</li>
<li>Experience with global  privacy laws, including extensive experience with European and U.S. law.
</li>
<li>Admitted to the bar and in good standing or otherwise authorized to practice law (e.g., have registered in-house status) in the state in which the role is located.
</li>
</ul>"
1,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>At Google, we work at lightning speed. So when things get in the way of progress, the Business Systems Integration team steps in to remove those roadblocks. The team identifies time-consuming internal processes and then builds solutions that are reliable and scalable enough to work within the size and scope of the company. You listen to and translate Googler needs into high-level technical specifications, design and develop recommended systems and consult with Google executives to ensure smooth implementation. Whether battling large system processes or leveraging our homegrown suite of Google products for Googlers themselves, you help Googlers work faster and more efficiently.</p>

<p>Google Works is a team for Googlers by Googlers. Our internal products touch every employee’s life including Finance, People Operations, Marketing, Cloud, and more. We invest heavily in engineering excellence through our horizontal teams, such as Data Works, who are tasked with making it easier for Googlers to do self-service analytics and reporting. We foster a warm and inclusive environment and pride ourselves on helping one-another, crossing project or task boundaries to share advice and lessons learned.
</p>

<p>As a Business Systems Analyst, you will help the Master Data Services team under Data Works manage Data Architecture, Data Engineering, and Reporting and Analytics technologies that empower our partners in Engineering and Business to deliver critical corporate functions.</p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.<br></p>",jobs/131565509914043078,"Business Systems Analyst, Master Data","['Austin, TX, USA', 'Sunnyvale, CA, USA']",2,2020-01-24T23:31:06.565Z,"<ul>
<li>Bachelor's degree in Business, Engineering, related field, or equivalent practical experience.</li>
<li>5 years of experience integrating third-party business applications.</li>
<li>Experience in system development in one or more of the following: Master Data Services, Master Data Management (MDM), Master Data Governance (MDG), SAP, 4HANA.</li>
</ul>"
2,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Google&#39;s projects, like our users, span the globe and require managers to keep the big picture in focus. As a Program Manager at Google, you lead complex, multi-disciplinary projects. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating goals to project stakeholders. Your projects often span offices, time zones and hemispheres, and it&#39;s your job to keep all the players coordinated on the project&#39;s progress and deadlines.</p>


<p>As a Program Manager, you will help deploy networking projects (e.g., network expansions, turnups, decoms, etc.) at Google data centers. You will also identify automation requirements for network project deployments and partner with the Hardware Operations Software Tools team to implement and Planning teams to determine network project demand levels and priorities.</p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google&#39;s product portfolio possible. We&#39;re proud to be our engineers&#39; engineers and love voiding warranties by taking things apart so we can rebuild them. We&#39;re always on call to keep our networks up and running, ensuring our users have the best and fastest experience possible.</p>",jobs/113988304715555526,"Program Manager, Data Center Network Deployment, Hardware Operations","['Sunnyvale, CA, USA']",1,2019-11-25T21:04:41.823Z,"<ul>
<li>Bachelor&#39;s degree in Computer Science, related technical field, or equivalent practical experience.</li>
<li>10 years of experience in one or more of the following: hardware/software project/product management, technical infrastructure and operations planning, distributed systems.</li>
<li>Experience in enterprise network architecture, management, and troubleshooting.</li>
<li>Experience with TCP/IP fundamentals and commonly-used network protocols (e.g., CCNA/JNCIA).</li>
</ul>"
3,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Trust &amp; Safety team members are tasked with identifying and taking on the biggest problems that challenge the safety and integrity of our products. They use technical know-how, excellent problem-solving skills, user insights, and proactive communication to protect users and our partners from abuse across Google products like Search, Maps, Gmail, and Google Ads. On this team, you're a big-picture thinker and strategic team-player with a passion for doing what’s right. You work globally and cross-functionally with Google engineers and product managers to identify and fight abuse and fraud cases at Google speed - with urgency. And you take pride in knowing that every day you are working hard to promote trust in Google and ensuring the highest levels of user safety.</p><p>At Google we work hard to earn our users’ trust every day. Trust &amp; Safety is Google’s team of abuse fighting and user trust experts working daily to make the internet a safer place. We partner with teams across Google to deliver bold solutions in abuse areas such as malware, spam and account hijacking. A diverse team of Analysts, Policy Specialists, Engineers, and Program Managers, we work to reduce risk and fight abuse across all of Google’s products, protecting our users, advertisers, and publishers across the globe in over 40 languages.</p>",jobs/102147181978231494,"Search Analyst, Trust and Safety","['Sunnyvale, CA, USA']",1,2020-01-23T21:01:20.244Z,"<ul>
<li>Bachelor's degree or equivalent practical experience.</li>
<li>4 years of experience in data analysis.</li>
<li>Experience in one or more of the following: coding, databases and querying, front-end development, or Statistical analysis (e.g., R, Stata, SPSS, SAS).</li>
<li>Experience relaying communications between technical and non-technical teams.</li>
</ul>"
4,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Trust &amp; Safety team members are tasked with identifying and taking on the biggest problems that challenge the safety and integrity of our products. They use technical know-how, excellent problem-solving skills, user insights, and proactive communication to protect users and our partners from abuse across Google products like Search, Maps, Gmail, and Google Ads. On this team, you're a big-picture thinker and strategic team-player with a passion for doing what’s right. You work globally and cross-functionally with Google engineers and product managers to identify and fight abuse and fraud cases at Google speed - with urgency. And you take pride in knowing that every day you are working hard to promote trust in Google and ensuring the highest levels of user safety.</p>
<p>In this role, you will combine skills in experimental design, statistical analysis, programming, and human-computer interaction to analyze user perceptions of product policies, enforcement mechanisms, and product features for controversial content, abuse, and spam. When it comes to understanding and promoting user trust, the T&amp;S Research team is the ambassador for the world of users outside of Google; we listen and investigate to deliver actionable insights, and educate others on online safety. T&amp;S is a platform team in Trust &amp; Safety, supporting all products in Google through deep research skills and a user-first mentality. The Trust &amp; Safety Research team follows the simple premise of ""Focus on the user and all else will follow.""
</p><p>At Google we work hard to earn our users’ trust every day. Trust &amp; Safety is Google’s team of abuse fighting and user trust experts working daily to make the internet a safer place. We partner with teams across Google to deliver bold solutions in abuse areas such as malware, spam and account hijacking. A diverse team of Analysts, Policy Specialists, Engineers, and Program Managers, we work to reduce risk and fight abuse across all of Google’s products, protecting our users, advertisers, and publishers across the globe in over 40 languages.</p>",jobs/72353414752674502,"User Researcher, Trust & Safety","['Sunnyvale, CA, USA']",1,2020-01-23T17:01:16.587Z,"<ul>
<li>Bachelor's degree in Computer Science, Human-Computer Interaction, Statistics, Psychology, related field or equivalent practical experience.
</li>
<li>6 years of work experience in an applied research setting. 
</li>
</ul>"
5,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Trust &amp; Safety team members are tasked with identifying and taking on the biggest problems that challenge the safety and integrity of our products. They use technical know-how, excellent problem-solving skills, user insights, and proactive communication to protect users and our partners from abuse across Google products like Search, Maps, Gmail, and Google Ads. On this team, you're a big-picture thinker and strategic team-player with a passion for doing what’s right. You work globally and cross-functionally with Google engineers and product managers to identify and fight abuse and fraud cases at Google speed - with urgency. And you take pride in knowing that every day you are working hard to promote trust in Google and ensuring the highest levels of user safety.</p>
<p>The Trust and Safety Ad Traffic Quality team's mission is to make the ads ecosystem universally trusted and defended from invalid traffic. As a Senior Research Analyst on the team, you will work with a small group of peers to keep us ahead of emerging and unknown threats by diving deep into the workings of ad fraud and coming back with actionable recommendations based on thorough analysis. You will also work closely with Product, Engineering, and T&amp;S teams to develop those recommendations into the next generation of defenses for the ads ecosystem.
</p><p>At Google we work hard to earn our users’ trust every day. Trust &amp; Safety is Google’s team of abuse fighting and user trust experts working daily to make the internet a safer place. We partner with teams across Google to deliver bold solutions in abuse areas such as malware, spam and account hijacking. A diverse team of Analysts, Policy Specialists, Engineers, and Program Managers, we work to reduce risk and fight abuse across all of Google’s products, protecting our users, advertisers, and publishers across the globe in over 40 languages.</p>",jobs/132563805361054406,"Senior Research Analyst (Ad Traffic), Trust and Safety","['Sunnyvale, CA, USA']",1,2020-01-23T15:01:11.569Z,"<ul>
<li>4 years of experience working with querying languages (e.g., MySQL, Dremel, etc.) and database structures. </li>
<li>3 years of experience working on ad fraud, online security, and/or malware or botnet software.</li>
<li>2 years of experience focused on analytical research and development.</li>
<li>Experience with coding and scripting (Python, C++, Java).</li>
</ul>"
6,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>At gTech’s Users and Products team (gUP), our mission is to help users get the most out of Google. We represent the voice of Google's users and many of our partners globally, sharing insights with the larger Google organization to enable exceptional customer and product experiences. <br><br>gUP builds innovative solutions that take user experience and engagement with Google to the next level, supporting users across products, countries, cultures, incomes, and identities. We advocate for users through partnerships with product areas at Google (and some Alphabet businesses), supporting Google’s consumer products ecosystem and enabling numerous launches for Google’s consumer products each year. <br><br>We are committed to building an ever more diverse, equitable, and inclusive gUP, and consider this the foundation upon which individual, team, and user success are built. We're also committed to innovation not only in the content of our work, but in the way we work. Check out <a href=""https://rework.withgoogle.com/blog/googles-algorithm-powered-internal-job-marketplace/"">this blog post </a>on our Chameleon program.</p>
<p>As an Customer Success Engineer, you'll be responsible for the success of Google products on the Google payments platform. You will lead all engagements between these clients and Google’s Payments Product and Engineering teams. Your consultative services will combine deep technical and payment expertise with an understanding of these clients’ needs to help them meet their business goals and drive Google growth.</p>

<p>You will influence product strategy, prioritize projects and resources, lead cross-functional projects and business reviews for our stakeholders.  You will oversee technical implementation services, and possess strong technical skills for troubleshooting integration issues. </p><p>Google creates products and services that make the world a better place, and gTech’s role is to help bring them to life. Our teams of trusted advisors support customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers’ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.<br><br>To learn more about gTech, check out our <a href=""https://www.youtube.com/watch?v=HcjR6ZngQcw"">video</a>.</p>",jobs/92567328157246150,"Customer Success Engineer, Users and Products","['Sunnyvale, CA, USA']",1,2020-03-06T02:01:25.104Z,"<ul>
<li>Bachelor's degree in a technical or engineering field, or equivalent practical experience.
</li>
<li>6 years of experience in technical account management, technical consulting, product management, professional services, customer success or engineering program management.
</li>
<li>Stakeholder management experience.</li>
<li>Experience working with Java code base, Product Management, Engineering, UX/UI and Business Development.
</li>
</ul>"
7,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Google's projects, like our users, span the globe and require managers to keep the big picture in focus while being able to dive into the unique engineering challenges we face daily. As a Technical Program Manager at Google, you lead complex, multi-disciplinary engineering projects using your engineering expertise. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating them to project stakeholders. You're equally at home explaining your team's analyses and recommendations to executives as you are discussing the technical trade-offs in product development with engineers.</p>
<p>As a Data Center Schedule Operations Manager, you'll be responsible  for end-to-end governance of data center schedule operations, while leading the integration of best practices and driving consistency and quality of schedule management globally. You will develop and execute Google's international program which you will focus on schedule development and management. You'll lead and participate on large and global projects, as well as understand and resolve complex challenges that put company objectives at risk. You will be a key part of an end-to-end supply chain team that drives continuous improvement and ensures operational excellence in support of Google's growth. </p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.<br></p>",jobs/111582985590842054,Data Center Schedule Operations Manager,"['Sunnyvale, CA, USA']",1,2019-11-20T17:31:35.283Z,"<ul>
<li>BA/BS degree in Construction Management, Industrial Engineering, Manufacturing Engineering, Civil, Mechanical, Electrical Engineering, or similar technical field, or equivalent practical experience.</li>
<li>15 years of experience managing and scheduling multinational technical programs/projects with competing resources and priorities.</li>
<li>10 years of experience constructing advanced technology facilities.</li>
</ul>"
8,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Google's projects, like our users, span the globe and require managers to keep the big picture in focus while being able to dive into the unique engineering challenges we face daily. As a Technical Program Manager at Google, you lead complex, multi-disciplinary engineering projects using your engineering expertise. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating them to project stakeholders. You're equally at home explaining your team's analyses and recommendations to executives as you are discussing the technical trade-offs in product development with engineers.</p>

<p>As a Technical Program Manager, you'll help lead our efforts in adopting new carbon free energy technologies to ensure Google’s data centers and operations operate on carbon-free energy. You will have the opportunity to source, evaluate, and select new carbon-free energy technology for Google’s data centers to adopt in our global portfolio of energy supply. You will lead the technology review, business case assessment, and deployment strategy in coordination with Engineering and Operations teams. <br><br>This is a dynamic role, working with a worldwide network of internal stakeholders as well as strategic partners to support the growth of carbon-free energy. You'll lead programmatic efforts across regions and various types of carbon-free energy technologies related to new types of power generation and energy storage.<br><br>You have a track record with large-scale energy products and project deployment, technology/market fit evaluations, and business case modeling. You also have solid knowledge of electrical systems and controls as well as new energy technologies and energy economics.<br></p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.</p>",jobs/90566920337531590,"Technical Program Manager, 24x7 Carbon-Free Energy Technologies","['Sunnyvale, CA, USA']",1,2019-11-20T17:02:21.778Z,"<ul>
<li>Master's degree in Technology, Engineering, or equivalent practical experience.</li>
<li>5 years of product or program management experience with power generation and associated energy technologies.</li>
<li>Experience with technology/market fit evaluations, business case, and economic modeling.</li>
<li>Experience with electrical systems and energy generation technologies and controls.</li>
</ul>"
9,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>At Google, we work at lightning speed. So when things get in the way of progress, the Business Systems Integration team steps in to remove those roadblocks. The team identifies time-consuming internal processes and then builds solutions that are reliable and scalable enough to work within the size and scope of the company. You listen to and translate Googler needs into high-level technical specifications, design and develop recommended systems and consult with Google executives to ensure smooth implementation. Whether battling large system processes or leveraging our homegrown suite of Google products for Googlers themselves, you help Googlers work faster and more efficiently.</p>
<p>Google Cloud is one of Google’s fastest growing product areas, enabling digital transformations for organizations of all sizes, operating in all industries and geographies. The mission of the Customer Success team is to enable the growth of Google Cloud through business systems innovation and excellence. On this team, you will provides all of the systems solutions that allow the successful growth of the business.

You will work with product area leaders to identify strategic priorities and designs and implements best in industry solutions to support them.</p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.</p>",jobs/103273148993938118,"Senior Business Analyst Manager, Customer Support, Cloud Business Systems","['Sunnyvale, CA, USA', 'Austin, TX, USA']",2,2020-01-22T02:01:03.321Z,"<ul>
<li>10 years of experience developing or implementing business applications</li>
<li>Experience in system development in CRM or Customer Success space</li>
<li>Experience working across organizational boundaries and collaborating with cross-functional teams</li>
<li>Experience managing the full implementation lifecycle for delivery of systems solutions (analyze, design, build, test, implement, support)</li>
</ul>"
10,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Google's projects, like our users, span the globe and require managers to keep the big picture in focus while being able to dive into the unique engineering challenges we face daily. As a Technical Program Manager at Google, you lead complex, multi-disciplinary engineering projects using your engineering expertise. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating them to project stakeholders. You're equally at home explaining your team's analyses and recommendations to executives as you are discussing the technical trade-offs in product development with engineers.</p>
<p>As a Technical Program Manager, you'll help lead our analytics and forecasting efforts. You will have the opportunity to build our data infrastructure and lead the development of our analytical tools, dashboards and frameworks. This is a dynamic role, working closely with a worldwide network of internal stakeholders as well as strategic partners to support the growth of our energy supply activities. You will lead programmatic efforts across all our regions and will be involved in various projects spanning technology, policy, and energy supply. 


</p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.</p>",jobs/89026639301616326,"Technical Program Manager, Energy Analyst","['Sunnyvale, CA, USA']",1,2019-11-07T17:01:25.074Z,"<ul>
<li>Bachelor's degree in technical field or equivalent practical experience.
</li>
<li>2 years of data engineering, business intelligence, or data analytics experience in the energy industry.
</li>
<li>Experience with databases, SQL-based languages, and the use of analytical tools on large datasets.
</li>
<li>Experience with data analysis on Python and developing reporting dashboards and simulation tools.</li>
</ul>"
11,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Google's projects, like our users, span the globe and require managers to keep the big picture in focus while being able to dive into the unique engineering challenges we face daily. As a Technical Program Manager at Google, you lead complex, multi-disciplinary engineering projects using your engineering expertise. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating them to project stakeholders. You're equally at home explaining your team's analyses and recommendations to executives as you are discussing the technical trade-offs in product development with engineers.</p>
<p>As a Google Data Centers (GDC) Program Manager in the Program Controls Organization, you'll have responsibility for working with GDC teams for the end-to-end governance of commercial operations globally, while leading the integration of best practices and driving consistency, quality of cost and commercial management. You will be responsible for all aspects of developing the data center commercial management strategy to support Google's cutting edge technology and business needs. You will develop and execute Google's international program which you will focus on, cost reporting frameworks, workflow management across contracts and invoicing, estimating and value engineering, and more.</p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.</p>",jobs/117500832049439430,Data Center Commercial Operations Manager,"['Sunnyvale, CA, USA']",1,2019-10-31T23:01:46.766Z,"<ul>
<li>Bachelor's degree in Construction Management, Quantity Surveying, Industrial Engineering or similar field, or equivalent practical experience.
</li>
<li>15 years of experience managing large-scale, multinational/dynamic technical projects.
</li>
<li>10 years of experience in the construction of Advanced Technology facilities.</li>
<li>Experience with the principles of construction planning and dispute resolution, regional construction markets, methods, practices and standards.
</li>
</ul>"
12,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Google's projects, like our users, span the globe and require managers to keep the big picture in focus while being able to dive into the unique engineering challenges we face daily. As a Technical Program Manager at Google, you lead complex, multi-disciplinary engineering projects using your engineering expertise. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating them to project stakeholders. You're equally at home explaining your team's analyses and recommendations to executives as you are discussing the technical trade-offs in product development with engineers.</p>

<p>As a Google Data Center (GDC) Program Manager in the Program Controls Organization, you'll collaborate cross-functional collaboration with Project Management and supplier sourcing teams to set strategy and transform contract management execution, supplier capability and outreach programs, and maintenance of  global templates and framework agreements. <br><br>As a contract operations manager on the Program Controls Organization (PCO) team, you'll foster effective stakeholder relationships from regional Construction teams to Legal teams, which are both inside and outside counsels driving continuous improvement initiatives across the portfolio to support Google's cutting edge technology and business needs. You will also lead and participate on large projects, understanding and resolving complex issues that put company objectives at risk. You are equally at home explaining your team's recommendations to management executives as you are discussing the processes and trade-offs with Program Management, Construction, and Legal teams. <br></p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.</p>",jobs/77647658711163590,"Contract Operations Manager, Data Center","['Sunnyvale, CA, USA']",1,2019-10-31T22:23:25.376Z,"<ul>
<li>Bachelor's degree in Law, Contract Management, Construction Management, Quantity Surveying, industrial Engineering, related field, or equivalent practical experience.</li>
<li>15 years of experience managing multinational technical projects.</li>
<li>10 years of experience in the construction of advanced technology facilities.
</li>
</ul>"
13,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Google's projects, like our users, span the globe and require managers to keep the big picture in focus while being able to dive into the unique engineering challenges we face daily. As a Technical Program Manager at Google, you lead complex, multi-disciplinary engineering projects using your engineering expertise. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating them to project stakeholders. You're equally at home explaining your team's analyses and recommendations to executives as you are discussing the technical trade-offs in product development with engineers.</p>
<p>Within the Data Center Platforms team, you will sit at the nexus of business analysis, technical project execution, and product rollout. 
</p><p>Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.<br></p>",jobs/90314032663143110,"Technical Program Manager, Platforms","['Sunnyvale, CA, USA']",1,2019-10-31T22:24:09.471Z,"<ul>
<li>Bachelor's degree or equivalent practical experience.</li>
<li>Experience in Program Management.</li>
<li>Experience working in compute/storage system development, software system development, and/or networking development.</li>
</ul>"
