,job_title,location,category,type
23,Software Engineer Principal - Data Science,"Atlanta, GA",Technology,Corporate/Other
24,SR SOFTWARE ENGINEER - Home Services,"Atlanta, GA",Technology,Corporate/Other
25,Principal Engineer - Data Science,"Atlanta, GA",Technology,Corporate/Other
26,SR ENGINEER QUALITY ASSURANCE,"Atlanta, GA",Engineering,Corporate/Other
27,HDQC Software Engineer II - SRE,"Vancouver, WA",Technology,Corporate/Other
28,SOFTWARE ENGINEER MANAGER - Home Services,"Austin, TX",Technology,Corporate/Other
29,SR SOFTWARE ENGINEER - Home Services,"Austin, TX",Technology,Corporate/Other
30,STAFF SOFTWARE ENGINEER - Home Services,"Austin, TX",Technology,Corporate/Other
31,CYBERSECURITY SENIOR ENGINEER – Network and Perimeter Security,"Austin, TX",Technology,Corporate/Other
32,CYBERSECURITY STAFF-LEAD ENGINEER – Endpoint Security,"Austin, TX",Technology,Corporate/Other
33,MOBILE SOFTWARE ENGINEER MANAGER,"Austin, TX",Technology,Corporate/Other
34,LEAD PRODUCT ENGINEER,"Atlanta, GA",Logistics/Supply Chain/Import,Corporate/Other
35,"Systems Engineer Senior Manager - Network Security, IR and Resiliency","Atlanta, GA",Technology,Corporate/Other
36,Software Engineer Manager- Reliability Engineering,"Atlanta, GA",Technology,Corporate/Other
37,SOFTWARE ENGINEER - Home Services,"Atlanta, GA",Technology,Corporate/Other
38,Software Engineer Manager-Reliability Engineering,"Austin, TX",Technology,Corporate/Other
39,CYBERSECURITY SENIOR ENGINEER - Data Security,"Austin, TX",Technology,Corporate/Other
40,Systems Engineer Senior Manager-Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
41,Senior Software Engineer - ServiceNow Developer,"Austin, TX",Technology,Corporate/Other
42,Staff Software Engineer-Reliability Engineering,"Austin, TX",Technology,Corporate/Other
43,Senior Software Engineer- Reliability Engineering,"Atlanta, GA",Technology,Corporate/Other
44,Systems Engineer Senior Manager-Cybersecurity,"Austin, TX",Technology,Corporate/Other
45,Staff Software Engineer- Reliability Engineering,"Atlanta, GA",Technology,Corporate/Other
46,STAFF SOFTWARE ENGINEER - Home Services,"Atlanta, GA",Technology,Corporate/Other
47,CYBERSECURITY ENGINEER - Data Security,"Austin, TX",Technology,Corporate/Other
48,CYBERSECURITY STAFF-LEAD ENGINEER – Network and Perimeter Security,"Austin, TX",Technology,Corporate/Other
49,SENIOR SYSTEM ENGINEER,"San Mateo, CA",Technology,Corporate/Other
50,Systems Engineer Senior Manager-Infrastructure,"Atlanta, GA",Technology,Corporate/Other
51,DC ENGINEER - MIRA LOMA,"Mira Loma, CA",Distribution/Transportation Facilities,Corporate/Other
52,DC ENGINEER - PHOENIX (RLC),"Phoenix, AZ",Distribution/Transportation Facilities,Corporate/Other
53,DC ENGINEER - INDIANAPOLIS (RLC),"Indianapolis, IN",Distribution/Transportation Facilities,Corporate/Other
54,CYBERSECURITY STAFF-LEAD ENGINEER – Data Security,"Austin, TX",Technology,Corporate/Other
55,Software Engineer Manager,"Austin, TX",Technology,Corporate/Other
56,DC ENGINEER - DALLAS (RDC),"Dallas, TX",Distribution/Transportation Facilities,Corporate/Other
57,DC ENGINEER - RANCHO CUCAMONGA,"Rancho Cucamonga, CA",Distribution/Transportation Facilities,Corporate/Other
58,Software Engineer Manager,"Atlanta, GA",Technology,Corporate/Other
59,CYBERSECURITY SENIOR ENGINEER - IAM(Identity Access Management),"Austin, TX",Technology,Corporate/Other
60,Systems Engineer Principal-Cybersecurity,"Austin, TX",Technology,Corporate/Other
61,"DC ENGINEER- Houston, TX 5831 MDC","Houston, TX",Distribution/Transportation Facilities,Corporate/Other
62,Systems Engineer Principal-Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
63,Staff Systems Engineer - Cryptography,"Austin, TX",Technology,Corporate/Other
64,Systems Engineer Manager-Cybersecurity,"Austin, TX",Technology,Corporate/Other
65,Systems Engineer Manager-Cyersecurity,"Atlanta, GA",Technology,Corporate/Other
66,Staff Software Engineer - ITX,"Atlanta, GA",Technology,Corporate/Other
67,Systems Engineer Senior Manager - Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
68,Senior Software Engineer-Reliability Engineering,"Austin, TX",Technology,Corporate/Other
69,Systems Engineer Senior Manager-Infrastructure,"Austin, TX",Technology,Corporate/Other
70,Systems Engineer Manager - Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
71,Systems Engineer Manager - Cybersecurity,"Austin, TX",Technology,Corporate/Other
72,Systems Engineer Manager-Infrastructure,"Austin, TX",Technology,Corporate/Other
73,Systems Engineer Manager-Infrastructure,"Atlanta, GA",Technology,Corporate/Other
74,Staff Software Engineer,"Atlanta, GA",Technology,Corporate/Other
75,Senior Software Engineer,"Atlanta, GA",Technology,Corporate/Other
76,Staff Software Engineer,"Austin, TX",Technology,Corporate/Other
77,Staff Systems Engineer- Qualys,"Austin, TX",Technology,Corporate/Other
78,"DevOps Engineer, BlackLocus","Austin, TX",Merchandising,Corporate/Other
79,Staff Systems Engineer-Infrastructure,"Austin, TX",Technology,Corporate/Other
80,Senior Systems Engineer-Infrastructure,"Atlanta, GA",Technology,Corporate/Other
81,Systems Engineer-Cybersecurity,"Austin, TX",Technology,Corporate/Other
82,Systems Engineer-Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
83,LEAD CLOUD ENGINEER,"Houston, TX",Technology,Corporate/Other
84,"Senior Software Engineer,  BlackLocus","Austin, TX",Merchandising,Corporate/Other
85,Staff Systems Engineer,"Atlanta, GA",Technology,Corporate/Other
86,SOFTWARE ENGINEER - ETL Developer,"Jacksonville, FL",Technology,Corporate/Other
87,Senior Software Engineer,"Austin, TX",Technology,Corporate/Other
88,Staff Systems Engineer-Cybersecurity,"Austin, TX",Technology,Corporate/Other
89,Staff Systems Engineer-Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
90,Senior Systems Engineer - Armis,"Austin, TX",Technology,Corporate/Other
91,Systems Engineer-Infrastructure,"Austin, TX",Technology,Corporate/Other
92,Systems Engineer- Infrastructure,"Atlanta, GA",Technology,Corporate/Other
93,Software Engineer,"Atlanta, GA",Technology,Corporate/Other
94,Software Engineer Principal,"Austin, TX",Technology,Corporate/Other
95,Software Engineer Principal,"Atlanta, GA",Technology,Corporate/Other
96,Software Engineer,"Austin, TX",Technology,Corporate/Other
97,Senior Systems Engineer-Infrastructure,"Austin, TX",Technology,Corporate/Other
98,Senior Systems Engineer-Cybersecurity,"Austin, TX",Technology,Corporate/Other
99,Senior Systems Engineer-Cybersecurity,"Atlanta, GA",Technology,Corporate/Other
