,country,subCategory,industry,title,multi_location,type,orgFunction,experience,locale,multi_location_array,jobSeqNo,postedDate,searchresults_display,descriptionTeaser,dateCreated,state,targetLevel,jd_display,reqId,badge,jobId,isMultiLocation,jobVisibility,mostpopular,location,category,locationLatlong
25,China,Software Engineering,,Software Engineer (all level) --O365 Monitoring,"['Suzhou, Jiangsu, China']",,,Experienced professionals,en_us,"[{'location': 'Suzhou, Jiangsu, China'}]",787389,2020-02-03T05:05:00,,"Office 365 is at the center of Microsoft&rsquo;s cloud first, devices first strategy as it brings together cloud versions of our most trusted communications and collaboration products such as",2020-02-03T05:07:31.946000,Jiangsu,64,,,,787389,True,['external'],0.0,"Suzhou, Jiangsu, China",Engineering,
26,United States,Software Engineering,,Senior Firmware Development Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",798498,2020-02-24T08:58:00,,"The Cloud Server Infrastructure Firmware Development (CSI-FW) team is responsible for server hardware definition, design and development of Server and Rack Infrastructure engineering for Microsoft's",2020-02-24T09:02:32.895000,Washington,63,,,,798498,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
27,India,Support Engineering,,Support Engineer,"['Bangalore, Karnataka, India']",,,Experienced professionals,en_us,"[{'location': 'Bangalore, Karnataka, India'}]",748971,2020-02-24T12:14:00,,CSS India is part of Microsoft&rsquo;s Customer Service and Support (CSS) organization. CSS team is on the front lines with our customers - Consumer and Enterprise - helping them get the most from,2020-02-24T12:21:34.857000,Karnataka,58,,,,748971,True,['external'],0.0,"Bangalore, Karnataka, India",Services,
28,Ireland,Data Center Technician,,Data Center Technician,"['Dublin, Dublin, Ireland']",,,Experienced professionals,en_us,"[{'location': 'Dublin, Dublin, Ireland'}]",797828,2020-02-24T13:31:00,,"Microsoft&rsquo;s Cloud Operations &amp; Innovation (CO+I) is the engine that powers our cloud services. As a CO+I Datacenter IT Technician, you will perform a key role in delivering the core",2020-02-24T13:35:32.083000,Dublin,36,,,,797828,True,['external'],0.0,"Dublin, Dublin, Ireland",Data Center,
29,Qatar,Sales Leadership,,Services Sales Manager - Middle East Cluster,"['Doha, Ad Dawḩah, Qatar']",,,Experienced professionals,en_us,"[{'location': 'Doha, Ad Dawḩah, Qatar'}]",796397,2020-02-24T12:46:00,,"Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and",2020-02-24T12:47:31.920000,Ad Dawḩah,64,,,,796397,True,['external'],0.0,"Doha, Ad Dawḩah, Qatar",Sales,
30,India,Account Management,,Account Executive,"['Gurgaon, Haryana, India']",,,Experienced professionals,en_us,"[{'location': 'Gurgaon, Haryana, India'}]",799080,2020-02-24T13:03:00,," Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and",2020-02-24T13:06:37.052000,Haryana,63,,,,799080,True,['external'],0.0,"Gurgaon, Haryana, India",Sales,
31,United States,Software Engineering,,"Principal Software Engineer, Azure Networking","['Atlanta, Georgia, United States']",,,Experienced professionals,en_us,"[{'location': 'Atlanta, Georgia, United States'}]",798609,2020-02-24T14:22:00,," Microsoft Azure is in the cloud race to win it. We are part of the Azure networking team responsible for designing, building, and operating critical network services that will help us differentiate",2020-02-24T14:25:02.248000,Georgia,65,,,,798609,True,['external'],0.0,"Atlanta, Georgia, United States",Engineering,
32,United States,Service Engineering,,Site Reliability Engineer II - CTJ,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",683566,2019-12-12T22:44:00,,Are you passionate about cloud technology?  Do you want to learn the core of what matters in building a cloud service from the best people in the industry? The Power BI group is building,2019-12-12T22:48:42.065000,Washington,62,,,,683566,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
33,United States,Software Engineering,,Software Engineer II - CTJ,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",674963,2019-07-29T20:33:00,,"Microsoft bets on Artificial Intelligence as the next growth opportunity for the company. Bing, Cortana, Office 365 and MS Research are in the forefront in applying Deep Learning to Natural Language",2019-07-29T20:36:33.583000,Washington,61,,,,674963,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
34,United States,Software Engineering,,Senior Software Development Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",758266,2019-12-10T10:09:00,,We are seeking a talented software engineer who is passionate about leading and delivering highly reliable and secure firmware and software solutions for Microsoft Azure Cloud Server platforms. The,2019-12-10T10:12:32.369000,Washington,64,,,,758266,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
35,France,Solution Sales,,Business Applications Sales Manager F/H,"['Paris, Paris, France']",,,Experienced professionals,en_us,"[{'location': 'Paris, Paris, France'}]",771703,2020-02-13T09:36:00,,"As a Solutions Sales Manager, you will accelerate business by building ambitious sales plans to capitalize on transformational shifts occurring in the market place. You will develop smart selling",2020-02-21T17:14:55.609000,Paris,64,,,,771703,True,['external'],0.0,"Paris, Paris, France",Sales,
36,United States,Software Engineering,,Senior Systems Engineer - Microsoft Teams Audio and Video Peripherals,"['Bellevue, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Bellevue, Washington, United States'}]",687925,2020-02-21T17:15:00,,In the Teams ecosystem we care deeply about our partners that are building devices and associated services to complement our Teams offering. It is an exciting area where we pioneer new ways to connect,2020-02-21T17:18:39.125000,Washington,63,,,,687925,True,['external'],0.0,"Bellevue, Washington, United States",Engineering,
37,United States,Software Engineering,,Cloud Server Infrastructure Sr Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",746668,2019-11-21T03:27:00,,The Cloud Server Infrastructure Sr Software Diagnostics Development Engineer (CSIDIAG) team is responsible for designing and developing hardware diagnostic software for Server and Rack Infrastructure,2019-11-21T03:34:35.669000,Washington,64,,,,746668,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
38,United States,Software Engineering,,Principal Software Engineer,"['Sunnyvale, California, United States']",,,Experienced professionals,en_us,"[{'location': 'Sunnyvale, California, United States'}]",792891,2020-02-19T08:27:00,,"Microsoft Azure is in the cloud race to win it. We are part of the Azure networking team responsible for designing, building and operating critical network services that will help us differentiate",2020-02-21T17:45:59.228000,California,65,,,,792891,True,['external'],0.0,"Sunnyvale, California, United States",Engineering,
39,United States,Software Engineering,,Software Development Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",716819,2019-10-07T18:49:00,,Do you want to help deliver cutting edge technology to Azure? Are you passionate about quality? Do you like collaborative solutions? Does providing top-tier seamless customer experiences on one the,2019-10-07T18:53:43.454000,Washington,61,,,,716819,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
40,United States,Data & Applied Sciences,,Applied Data Scientist II,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",789716,2020-02-08T00:11:00,,Do you want to help enable new and incredible human computer interactions leveraging cutting edge Machine Learning Technologies? Would you like to change the way how millions of users interact with,2020-02-08T01:01:07.615000,Washington,61,,,,789716,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
41,Japan,Support Engineering,,Support Engineer (Azure Networking),"['Tokyo, Tokyo-to, Japan']",,,Experienced professionals,en_us,"[{'location': 'Tokyo, Tokyo-to, Japan'}]",776987,2020-02-21T11:01:00,,"Are you interested in the cloud business? The Microsoft Azure Platform is strategic to Microsoft enabling customers to develop, test, and deploy solutions in the cloud to take advantage of hyper-scale",2020-02-21T11:03:40.130000,Tokyo-to,58,,,,776987,True,['external'],0.0,"Tokyo, Tokyo-to, Japan",Services,
42,Japan,Support Engineering,,Support Engineer (Developer Support - Bot/Web Application/Browsers),"['Tokyo, Tokyo-to, Japan']",,,Experienced professionals,en_us,"[{'location': 'Tokyo, Tokyo-to, Japan'}]",742239,2020-02-21T11:32:00,,Bot や Web アプリケーションなどの開発案件に興味はありませんか？新しい技術を熱意をもって追い続けていただける方、これまでの開発経験を活かし　クラウド、オンプレミス環境問わずお客様の様々なプロジェクトの開発支援を一緒に行っていただける方を募集しています。,2020-02-21T11:33:33.702000,Tokyo-to,58,,,,742239,True,['external'],0.0,"Tokyo, Tokyo-to, Japan",Services,
43,India,Support Engineering,,Support Engineering Manager,"['Hyderabad, Telangana, India']",,,Experienced professionals,en_us,"[{'location': 'Hyderabad, Telangana, India'}]",796417,2020-02-21T08:32:00,,Customer Service &amp; Support&bull; Do you want to empower every person and every organization on the planet to achieve more? &bull; Do you want to work in an open and inclusive environment where,2020-02-21T08:37:33.081000,Telangana,60,,,,796417,True,['external'],0.0,"Hyderabad, Telangana, India",Services,
44,Japan,Support Engineering,,Technical Advisor (CSS Azure MSD),"['Tokyo, Tokyo-to, Japan']",,,Experienced professionals,en_us,"[{'location': 'Tokyo, Tokyo-to, Japan'}]",785731,2020-02-21T10:58:00,,"The vision of the Customer Support Services (CSS) organization is about being relentless in the pursuit of truly exceptional customer experiences. We aspire to deliver to, ""Deliver a customer",2020-02-21T11:00:34.622000,Tokyo-to,59,,,,785731,True,['external'],0.0,"Tokyo, Tokyo-to, Japan",Services,
45,United States,Software Engineering,,Software Engineer,"['Cambridge, Massachusetts, United States']",,,Experienced professionals,en_us,"[{'location': 'Cambridge, Massachusetts, United States'}]",796475,2020-02-21T19:22:00,,"Do you want your software to help millions of people and organizations achieve more? Do you want to write code for Android, iOS, Windows, and Mac? Do you want learning how to be a better engineer to",2020-02-21T19:29:35.708000,Massachusetts,60,,,,796475,True,['external'],0.0,"Cambridge, Massachusetts, United States",Engineering,
46,United States,Program Management,,Principal Program Manager,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",703116,2019-09-11T00:37:00,,"Are you interested in working for one of the most exciting teams in Microsoft? A team relentlessly focused on customer needs, market expansion and advancing Microsoft Cloud first strategy? Interested",2019-09-11T00:39:32.167000,Washington,65,,,,703116,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
47,United States,Software Engineering,,Software Engineering Manager,"['Houston, Texas, United States']",,,Experienced professionals,en_us,"[{'location': 'Houston, Texas, United States'}]",710751,2019-09-25T16:09:00,,Microsoft&rsquo;s Energy sector is one of the fastest growing industries in our global portfolio and our customers are asking for our help in changing the way that energy is produced. With a greater,2019-09-25T16:11:32.187000,Texas,66,,,,710751,True,['external'],0.0,"Houston, Texas, United States",Engineering,
48,United States,Technical Delivery,,Consultant,"['Other, Other, United States']",,,Experienced professionals,en_us,"[{'location': 'Other, Other, United States'}]",796756,2020-02-21T19:42:00,,"Vexcel specializes in complete systems integration of Microsoft and Open Souirce technology as part of our customers' entire solution set. This includes ensuring technical, cost and schedule",2020-02-21T19:46:01.897000,Other,62,,,,796756,True,['external'],0.0,"Other, Other, United States",Services,
49,Malaysia,Support Delivery,,Premier Field Engineer- SCCM/AD/Azure,"['Kuala Lumpur, Selangor, Malaysia']",,,Experienced professionals,en_us,"[{'location': 'Kuala Lumpur, Selangor, Malaysia'}]",795946,2020-02-24T17:03:00,,"Are you looking to join a team where you help customers use the latest technology, where you receive cutting edge training and where you&rsquo;re empowered to make a difference? We need enthusiastic",2020-02-24T17:06:36.929000,Selangor,60,,,,795946,True,['external'],0.0,"Kuala Lumpur, Selangor, Malaysia",Services,
0,United States,Retail Store Development (Field),,Cloud Technical Expert - Florida Mall,"['Orlando, Florida, United States']",,,Experienced professionals,en_us,"[{'location': 'Orlando, Florida, United States'}]",790918,2020-02-07T21:25:00,,"Our Cloud Technical Expert - Services Advisors are experts in showcasing and interacting with Microsoft devices and software, providing world class service at our Answer Desk in-store and on-site at",2020-02-19T01:37:43.531000,Florida,36,,,,790918,True,['external'],0.0,"Orlando, Florida, United States",Retail,
1,Taiwan,Quality & Reliability Engineering,,Reliablitiy Engineer II,"['Taipei, Taipei City, Taiwan']",,,Experienced professionals,en_us,"[{'location': 'Taipei, Taipei City, Taiwan'}]",765030,2020-02-19T00:49:00,,Successful candidate will be responsible for driving high quality and reliability of equipment used in Microsoft&rsquo;s cloud to meet and exceed our customers&rsquo; expectations. Act as the internal,2020-02-19T00:51:33.360000,Taipei City,62,,,,765030,True,['external'],0.0,"Taipei, Taipei City, Taiwan",Hardware Manufacturing Engineering,
2,United States,Software Engineering,,Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",796556,2020-02-19T03:16:00,,Are you looking to build Software as a Service (SaaS) applications to enable our business customers to undertake their journeys of digital transformation? As part of the Dynamics 365 engineering,2020-02-19T03:17:31.325000,Washington,60,,,,796556,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
3,India,Service Engineering,,Customer Engineer for Startups,"['Bangalore, Karnataka, India']",,,Experienced professionals,en_us,"[{'location': 'Bangalore, Karnataka, India'}]",789967,2020-02-14T11:19:00,,"Are you interested in working for one of the most exciting products in Microsoft, passionate about exceeding customer expectations and advancing Microsoft&rsquo;s cloud first strategy? Are you excited",2020-02-14T11:21:32.812000,Karnataka,63,,,,789967,True,['external'],0.0,"Bangalore, Karnataka, India",Engineering,
4,India,Service Engineering,,Customer Engineer for Startups,"['Mumbai, Maharashtra, India']",,,Experienced professionals,en_us,"[{'location': 'Mumbai, Maharashtra, India'}]",789969,2020-02-14T11:23:00,,"Are you interested in working for one of the most exciting products in Microsoft, passionate about exceeding customer expectations and advancing Microsoft&rsquo;s cloud first strategy? Are you excited",2020-02-14T11:25:30.866000,Maharashtra,63,,,,789969,True,['external'],0.0,"Mumbai, Maharashtra, India",Engineering,
5,India,Support Engineering,,Support Engineer,"['Bangalore, Karnataka, India']",,,Experienced professionals,en_us,"[{'location': 'Bangalore, Karnataka, India'}]",775982,2020-02-19T06:11:00,,Customer Service &amp; Support&bull; Do you want to empower every person and every organization on the planet to achieve more? &bull; Do you want to work in an open and inclusive environment where,2020-02-19T06:15:34.950000,Karnataka,58,,,,775982,True,['external'],0.0,"Bangalore, Karnataka, India",Services,
6,India,Program Management,,Program Manager 2,"['Hyderabad, Telangana, India']",,,Experienced professionals,en_us,"[{'location': 'Hyderabad, Telangana, India'}]",762287,2019-12-24T06:44:00,,"Security Program Manager Role in Digital Security &amp; Risk Engineering Do you love security, and the thrill of challenging yourself with new-unknowns? every day? Do you have the learner mindset, are",2019-12-24T06:46:33.497000,Telangana,61,,,,762287,True,['external'],0.0,"Hyderabad, Telangana, India",Engineering,
7,India,Software Engineering,,Service Engineer 2,"['Hyderabad, Telangana, India']",,,Experienced professionals,en_us,"[{'location': 'Hyderabad, Telangana, India'}]",760093,2019-12-24T06:25:00,,"Do you love the excitement and learning opportunity to study, analyze and deal with the latest threats to digital security in today's world? Do you have the &ldquo;learner&rdquo; mindset, are willing",2019-12-24T06:28:33.724000,Telangana,61,,,,760093,True,['external'],0.0,"Hyderabad, Telangana, India",Engineering,
8,India,Software Engineering,,Software Engineer,"['Hyderabad, Telangana, India']",,,Experienced professionals,en_us,"[{'location': 'Hyderabad, Telangana, India'}]",742716,2019-11-29T19:28:00,, Are you looking for an opportunity to impact the experience of every consumer who uses Microsoft products? The Member Experiences team is focused on the delivery of engaging and delightful,2020-02-19T06:44:32.637000,Telangana,62,,,,742716,True,['external'],0.0,"Hyderabad, Telangana, India",Engineering,
9,India,Software Engineering,,Software Engineer 2,"['Hyderabad, Telangana, India']",,,Experienced professionals,en_us,"[{'location': 'Hyderabad, Telangana, India'}]",784787,2020-01-30T07:33:00,, Core Services Engineering builds and manages the critical products and services that Microsoft runs on. We boldly pursue big ideas that power transformational advances at Microsoft and for our,2020-01-30T08:05:08.540000,Telangana,62,,,,784787,True,['external'],0.0,"Hyderabad, Telangana, India",Engineering,
10,India,Software Engineering,,Software Engineer 2,"['Hyderabad, Telangana, India']",,,Experienced professionals,en_us,"[{'location': 'Hyderabad, Telangana, India'}]",789931,2020-02-06T09:43:00,,Core Services Engineering builds and manages the critical products and services that Microsoft runs on. We boldly pursue big ideas that power transformational advances at Microsoft and for our,2020-02-06T09:46:34.234000,Telangana,61,,,,789931,True,['external'],0.0,"Hyderabad, Telangana, India",Engineering,
