,job_title,jobid,location_city,location_state,location_country,date_posted
122,Core Java Software Engineer- (Serverside),200015840,Houston,TX,US,2-27-2020
123,Serverside Core Java Engineer,200015830,Houston,TX,US,2-27-2020
124,Software Engineer,200017911,Columbus,OH,US,2-27-2020
125,Software Engineering - API Lead Engineer,200015271,Jersey City,NJ,US,2-26-2020
126,Java (Cloud Microservices) Software Engineer,200014206,Plano,TX,US,2-26-2020
127,Java (Cloud Microservices) Software Engineer,200014205,Plano,TX,US,2-26-2020
128,Java (Cloud Microservices) Software Engineer,200014203,Plano,TX,US,2-26-2020
129,AI Engineering - Senior Machine Learning Engineer,190086554_1,New York,NY,US,1-27-2020
130,AI Engineering - Senior Machine Learning Engineer,190086554,San Mateo,CA,US,1-27-2020
131,Sr. Full Stack Software Engineer - Java/Angular,200003974,Houston,TX,US,2-24-2020
132,Global Java/Cloud Engineer,200011421,Newark,DE,US,2-27-2020
133,"Vice President, Software Engineer - Splunk Monitoring SME",190065216,Plano,TX,US,8-28-2019
134,Full Stack .NET Software Engineer,200008248,Houston,TX,US,1-30-2020
135,Java Software Engineer,200002100,Columbus,OH,US,1-30-2020
136,Public Cloud - Associate Software Engineer (Java/Microservices),200007840,San Mateo,CA,US,3-1-2020
137,Full-stack Java Software Engineer,200001306,Houston,TX,US,2-28-2020
138,Technology Operations - Network Engineer / Support,190108059,Columbus,OH,US,11-25-2019
139,Executive Director - Network & Systems Engineering  |  Cybersecurity,200001079_5,Washington,DC,US,2-28-2020
140,Executive Director - Network & Systems Engineering  |  Cybersecurity,200001079_4,Lewisville,TX,US,2-28-2020
141,Executive Director - Network & Systems Engineering  |  Cybersecurity,200001079_3,Jersey City,NJ,US,2-28-2020
142,Executive Director - Network & Systems Engineering  |  Cybersecurity,200001079_2,Columbus,OH,US,2-28-2020
143,Executive Director - Network & Systems Engineering  |  Cybersecurity,200001079_1,Brooklyn,NY,US,2-28-2020
144,Executive Director - Network & Systems Engineering  |  Cybersecurity,200001079,Wilmington,DE,US,2-28-2020
145,Java React – Software Engineer,200005532,Newark,DE,US,2-28-2020
146,Java Big data Engineer,200012415,New York,NY,US,2-28-2020
147,Senior Lead Java Software Engineer,200000456_1,Columbus,OH,US,2-28-2020
148,Senior Lead Java Software Engineer,200000456,Wilmington,DE,US,2-28-2020
149,Software Engineer - Cybersecurity,200019206,Seattle,WA,US,2-28-2020
150,Java Microservices Software Engineer Lead,200019046,Westerville,OH,US,2-28-2020
151,Java Frameworks and Services Software Engineer - Big Data,200015849,Westerville,OH,US,2-28-2020
152,Java Frameworks and Services Software Engineer - Big Data,200015723,Westerville,OH,US,2-28-2020
153,Pega Software Engineer,200020336,Columbus,OH,US,3-3-2020
154,Data Engineer,200011806,Houston,TX,US,3-3-2020
155,Senior eTrading Software Engineer,200003334,Chicago,IL,US,1-31-2020
156,"Commercial Card, SUA Solutions Engineer, VP",200008717,Chicago,IL,US,1-31-2020
157,Python Software Engineer – Data Engineering,200011318,Chicago,IL,US,3-2-2020
158,Software Engineer,200003087,Wilmington,DE,US,3-2-2020
159,Software Engineering (Java /.Net/Springboot),200003944,Plano,TX,US,3-2-2020
160,Software Engineering (Java Full Stack / Microservices / Kafka),200017912,Chicago,IL,US,3-2-2020
161,SQL and PL/SQL Software Engineer,190111259,Wilmington,DE,US,3-2-2020
162,Sr. Software Engineer (UI/Javascript),200018012,Houston,TX,US,2-26-2020
163,AI/ML Platform - Senior Cloud Engineer VP,200013103,Seattle,WA,US,3-2-2020
164,AI/ML Platform & Engineering - Software Engineer,200013109,Seattle,WA,US,3-2-2020
165,Software Engineer - Cloud Technology,200017540,Newark,DE,US,3-2-2020
166,Software Engineer - Java,200017533,Newark,DE,US,3-2-2020
167,Java Software Engineer,200000071,Columbus,OH,US,1-2-2020
168,Windows Desktop Engineer,190094022,Columbus,OH,US,12-2-2019
169,Big Data Software Engineer,200017653,Wilmington,DE,US,3-4-2020
170,Lead Fullstack Software Engineer,200017360,Chicago,IL,US,3-4-2020
171,"Military Pathways- Direct Hire Program- Consumer and Community Banking – Software Engineer – Wilmington, DE.",200015548,Wilmington,DE,US,2-26-2020
172,"Military Pathways- Direct Hire Program- Consumer and Community Banking – Software Engineer – Wilmington, DE.",200013968,Wilmington,DE,US,2-19-2020
173,Big Data Engineer - Consumer and Community Banking Technology,200020396,Columbus,OH,US,3-3-2020
174,Big Data Software Engineer,190047263,Houston,TX,US,2-13-2020
175,Java and Cloud Software Engineer,190096583,Wilmington,DE,US,3-4-2020
176,Site Reliability Engineer,200010225,Lewisville,TX,US,3-3-2020
177,Software Engineer - Java,200015734,Houston,TX,US,3-3-2020
178,Java Software Engineer,200014927,Chicago,IL,US,2-21-2020
179,"Military Pathways- Direct Hire Program - Commercial Bank – Software Engineer – Chicago, IL",200012382,Chicago,IL,US,2-24-2020
180,Senior Network Perimeter & Malware Detection Engineer,190107445,Wilmington,DE,US,3-5-2020
181,Data Scientist - Analytics Software Engineer,200006176,New York,NY,US,3-4-2020
182,Java Software Engineer,200012480,Plano,TX,US,3-5-2020
183,Senior Quant Software Engineer,200015084,Jersey City,NJ,US,3-5-2020
184,Software Engineer - Back-end,200021132,Lewisville,TX,US,3-5-2020
185,Mobile QA Software Engineer,190089509,Columbus,OH,US,1-24-2020
186,"Associate, Software Engineer",200021137,Lewisville,TX,US,3-5-2020
187,Senior Hadoop Engineer,190107804_3,Plano,TX,US,3-3-2020
188,Senior Hadoop Engineer,190107804_2,Lewisville,TX,US,3-3-2020
189,Senior Hadoop Engineer,190107804_1,Houston,TX,US,3-3-2020
190,Senior Hadoop Engineer,190107804,Houston,TX,US,3-3-2020
191,Office 365 - OneDrive Software Engineer,180125825,Chicago,IL,US,5-9-2019
192,Military Pathways Program Software Engineer,200011132,Chicago,IL,US,2-19-2020
193,Software Engineer - Java for ML Product,200013892,New York,NY,US,3-6-2020
194,Qlik Business Intelligence Reporting Engineer,200021835,Columbus,OH,US,3-6-2020
195,"Software Engineer - Core Search Engineer, Elasticsearch",200006943,Jersey City,NJ,US,2-4-2020
196,"Software Engineer, Lead - Core Search Engineer, Elasticsearch",200006938,Jersey City,NJ,US,2-4-2020
197,Software Services Engineer,200010317,Newark,DE,US,3-6-2020
198,Software Engineer – Full Stack Developer,200015169,Newark,DE,US,3-6-2020
199,Software Engineer (Applied AI/ML),200021801,New York,NY,US,3-6-2020
200,Full Stack – Software Engineer,200013686,Newark,DE,US,3-6-2020
201,"Software Engineer, Lead - UI Expert, Javascript, React, D3",190106611,New York,NY,US,3-6-2020
202,Full Stack Engineer,200019477,Plano,TX,US,3-6-2020
203,Full Stack Engineer,200019471,Plano,TX,US,3-6-2020
204,"Software Engineer, Lead - CTO Accelerator",190111610,Brooklyn,NY,US,3-6-2020
205,"Software Engineer: Java, Big Data for ML Product Platform- Lead",190106918,New York,NY,US,3-6-2020
206,Java Full Stack Digital Software Engineer,200015366,Columbus,OH,US,3-6-2020
207,Java Software Engineer,190099233,New York,NY,US,3-6-2020
208,Automation Platforms Engineer Lead,200015375,Plano,TX,US,3-6-2020
209,Java Software Engineer,200004600,Wilmington,DE,US,3-2-2020
210,.NET Applications Software Engineer,200019119,Houston,TX,US,3-6-2020
211,Software Engineer,200021596,Newark,DE,US,3-6-2020
212,Senior UI Javascript Engineer,200001081,Houston,TX,US,2-10-2020
213,Senior Java Engineer - MQ,200001085,Houston,TX,US,2-21-2020
214,Software Engineer - Full Stack (Java / React / Angular),190080872,Plano,TX,US,12-27-2019
215,"VP, Site Reliability Engineer - Manager",190100183,Newark,DE,US,12-18-2019
216,Site Reliability Engineer (SRE),190106735,Wilmington,DE,US,2-23-2020
217,"Software Engineer, Lead - Private Cloud Delivery Manager",190107496,Jersey City,NJ,US,12-18-2019
218,Site Reliability Engineer,200013460,Plano,TX,US,2-21-2020
219,Site Reliability Engineer,200013453,Plano,TX,US,2-21-2020
220,Software Engineer - Java Microservices / REST API,200013050,Tampa,FL,US,2-26-2020
221,"Associate, Software Engineer - Cloud/Java",200011494,Columbus,OH,US,2-12-2020
222,Java Full Stack Software Engineer,200009825,Columbus,OH,US,2-10-2020
223,Software Engineer - Customer Security Analysis & Response,200001237,Columbus,OH,US,2-10-2020
224,Java (Microservices) Software Engineer,200003934,Plano,TX,US,2-11-2020
225,Java / API Software Engineer Lead,200009115,Lewisville,TX,US,2-11-2020
226,Public Cloud - Sr. Software Engineer - DevOps,200008053,San Mateo,CA,US,3-1-2020
227,Senior Security Software Engineer,190113617,Plano,TX,US,2-24-2020
228,Big Data Software Engineer - Java & Spark,190110694,Plano,TX,US,2-12-2020
229,Big Data Software Engineer - Java Spark & Hadoop,190110791,Plano,TX,US,2-27-2020
230,GMI iSeries Software Engineer,200019115,Chicago,IL,US,3-3-2020
231,AI/ML Platform - Senior Cloud Engineer VP,200014948,Jersey City,NJ,US,3-2-2020
232,Software Engineer,200018458,Wilmington,DE,US,3-2-2020
233,"Python, Hadoop, and Machine Learning Software Engineer",200014128,Wilmington,DE,US,2-27-2020
234,Lead Java Software Engineer,200018753,Houston,TX,US,2-27-2020
235,Software Engineering,200018522,Plano,TX,US,2-27-2020
236,Software Engineering,200017504,Jersey City,NJ,US,2-27-2020
237,Java/Spark Software Engineer,200005737,Columbus,OH,US,1-22-2020
238,Data Engineer,200003851,Plano,TX,US,2-10-2020
239,Software Engineer - Java,200003992,Seattle,WA,US,2-26-2020
240,Java Software Engineer,200000242,Columbus,OH,US,1-13-2020
241,VP Java - Software Engineer,200007619,Wilmington,DE,US,1-28-2020
242,.NET Applications Software Engineer,200005551,Houston,TX,US,1-30-2020
243,Senior Infrastructure  Engineer,200003907,Chicago,IL,US,1-21-2020
244,Software Engineer,200005145,Chicago,IL,US,1-21-2020
245,Big Data Software Engineer,200005482,Newark,DE,US,1-22-2020
246,Senior Software Engineer,190113402,Houston,TX,US,1-27-2020
247,Windows Site Reliability Engineer,200004142,Columbus,OH,US,1-23-2020
248,"Fullstack Software Engineer, Java/JavaScript",200000328,Westerville,OH,US,1-24-2020
249,Python Web Software Engineer,200000851,Houston,TX,US,1-22-2020
250,Informatica - Site Reliability Engineer,190099599,Newark,DE,US,1-24-2020
251,QA Automation Software Engineer,200000798,Wilmington,DE,US,1-21-2020
252,Software Engineering - Data Engineer / Big Data,190108426,Tampa,FL,US,1-22-2020
253,Software Engineer - Java,190111304,Tampa,FL,US,1-24-2020
254,Lead Software Engineer - Full Stack Java,190107412,Columbus,OH,US,3-4-2020
255,Java Software Engineer -   Spark & Big Data,200003597,Columbus,OH,US,1-14-2020
256,Software Engineer - RDT Document Management,200003631,Newark,DE,US,2-26-2020
257,Software Engineer - RDT Document Management,200003630,Newark,DE,US,2-24-2020
258,Software Engineer (Core Java),200003496,Houston,TX,US,1-14-2020
259,Java Software Engineer (Java/ReactJS ),200003379,Houston,TX,US,1-14-2020
260,Software Engineer - Big Data,200019621,Columbus,OH,US,3-2-2020
261,"Software Engineer, Associate II - QA/Test Automation",200008265,Columbus,OH,US,3-2-2020
262,"Military Pathways- Direct Hire Program- Consumer and Community Banking – Software Engineer – Wilmington, DE.",200015825,Wilmington,DE,US,3-2-2020
263,Reporting and Cloud Software Engineer,200003206,Columbus,OH,US,3-3-2020
264,WePay- Sales Engineer,190045685,Redwood City,CA,US,5-10-2019
265,Software Engineer,190103652,Columbus,OH,US,2-27-2020
266,Military Pathways Program Software Engineer,200009143,Chicago,IL,US,2-10-2020
267,"Military Pathways- Direct Hire Program - Commercial Bank – Software Engineer – Chicago, IL",200003968,Chicago,IL,US,2-19-2020
268,Software Engineer (Java),200003980,Chicago,IL,US,2-10-2020
269,Java Software Engineer,190109729,New York,NY,US,2-20-2020
270,Java Software Engineer,190109738,New York,NY,US,2-11-2020
271,Java Software Engineer,190113188,New York,NY,US,2-10-2020
272,Full Stack Web Software Engineer (React & Java/Python/Node.js),200005562,Houston,TX,US,2-4-2020
273,Python Software Engineer,200005338,Houston,TX,US,2-20-2020
274,Full Stack Software Engineer (Java/.Net),190114082,Houston,TX,US,2-3-2020
275,Full Stack Web Software Engineer (Javascript/Python),200005561,Houston,TX,US,2-4-2020
276,Front End Engineer - UI Developer,190109700,New York,NY,US,1-31-2020
277,Senior Java Software Engineer,200005683,New York,NY,US,2-4-2020
278,Sr. Software Engineer-Java,200007777,Houston,TX,US,1-29-2020
279,Lead Process Automation Software Engineer,200003627,Columbus,OH,US,2-4-2020
280,Mobile QA Software Engineer,190090856,San Francisco,CA,US,1-16-2020
281,Big Data Software Engineer,190110352,Houston,TX,US,1-13-2020
282,AI Engineering - Machine Learning Engineer,190103971_1,San Mateo,CA,US,12-17-2019
283,AI Engineering - Machine Learning Engineer,190103971,Seattle,WA,US,12-17-2019
284,Java Software Engineer - Big Data,190112404,Chicago,IL,US,12-13-2019
285,Machine Learning Engineering Lead,190108645,Columbus,OH,US,2-13-2020
286,Site Reliability Engineer - Digital Technology,190112259,Chicago,IL,US,12-12-2019
287,Software Engineer - Java,200013461,Tampa,FL,US,2-14-2020
288,Software Engineer,200013458,Tampa,FL,US,2-14-2020
289,Big Data Software Engineer,200013589,Wilmington,DE,US,2-13-2020
290,Big Data Software Engineer,200013563,Houston,TX,US,2-13-2020
291,Big Data Software Engineer,200013562,Houston,TX,US,2-13-2020
292,J2EE Software Engineer,200013559,Columbus,OH,US,2-13-2020
293,Software Engineer - Big Data Platform API's,190083117,New York,NY,US,2-26-2020
294,Big Data Site Reliability Engineer,190104805,Columbus,OH,US,11-12-2019
295,Executive Director - Cloud Data Engineering Lead,190090071_3,Seattle,WA,US,2-25-2020
296,Executive Director - Cloud Data Engineering Lead,190090071_2,San Mateo,CA,US,2-25-2020
297,Executive Director - Cloud Data Engineering Lead,190090071_1,Plano,TX,US,2-25-2020
298,Executive Director - Cloud Data Engineering Lead,190090071,Jersey City,NJ,US,2-25-2020
299,Mobile Software Engineer - Android,190100175,Columbus,OH,US,2-18-2020
300,Mobile Software Engineer - iOS,190100190,Columbus,OH,US,2-11-2020
301,SRE Software Engineer,190110576,Wilmington,DE,US,2-12-2020
302,Java Software Engineer,200003509,Columbus,OH,US,2-24-2020
303,Senior Software Engineer,200012823,Seattle,WA,US,2-14-2020
304,Java / Big Data Software Engineer,200003479,New York,NY,US,2-26-2020
305,ETL Software Engineer,190092920,Columbus,OH,US,3-4-2020
306,Pega - Business Process Management - Software Engineer Lead,200010865,Wilmington,DE,US,2-10-2020
307,Pega - Business Process Management - Software Engineer,200010878,Wilmington,DE,US,2-10-2020
308,Software Engineer - Java,200010191,Tampa,FL,US,2-13-2020
309,Performance Engineer,200009322,Columbus,OH,US,2-10-2020
310,Java Software Engineer,200009339,Houston,TX,US,2-3-2020
311,Data Protection Engineer - Software Engineer,200006969,Columbus,OH,US,2-18-2020
312,Java Software Engineer,200020109,Westerville,OH,US,3-3-2020
313,Big Data Software Engineer,200020089,Lewisville,TX,US,3-3-2020
314,"Software Engineer, Lead - Java, AM Technology",190113815,New York,NY,US,2-13-2020
315,Big Data Software Engineer,190109686,Houston,TX,US,1-14-2020
316,GIAM Head of Vault Engineering,190114041,Jersey City,NJ,US,2-19-2020
317,Java / Cloud Software Engineer,190102874,Jersey City,NJ,US,1-15-2020
318,Director - Site Reliability Engineering,190108544,Chicago,IL,US,2-13-2020
319,Python Software Engineer,190096117,Westerville,OH,US,12-12-2019
320,Site Reliability Engineer - Big Data/Hadoop,190103876,Newark,DE,US,1-13-2020
321,Software Engineer - Cyber Build Team,190109406,Wilmington,DE,US,2-23-2020
322,Big Data Software Engineer,190110113,Chicago,IL,US,3-3-2020
323,Senior Big Data Engineer,190090135,Houston,TX,US,2-13-2020
324,Senior Full Stack Java Software Engineer,200012998,Columbus,OH,US,2-12-2020
325,Java Software Engineer,200012840,Columbus,OH,US,2-12-2020
326,Senior Big Data Software Engineer,200012458,Houston,TX,US,2-12-2020
327,Senior Big Data Software Engineer,200012459,Houston,TX,US,2-12-2020
328,Site Reliability Engineer - DevOps Champion,200009875,Orem,UT,US,2-28-2020
329,Java Software Engineer,200009883,New York,NY,US,2-4-2020
330,Mobile Software Engineer,200005921,Westerville,OH,US,2-10-2020
331,Java MicroServices Software Engineer,200009632,Seattle,WA,US,2-18-2020
332,Senior Java Software Engineer - Lead,200003894,Chicago,IL,US,1-28-2020
333,Machine Learning Engineer - AI Platform,200004841,San Mateo,CA,US,1-28-2020
334,Senior Java Engineer,200007214,Westerville,OH,US,1-27-2020
335,Frontend Software Engineer (Javascript/React),200006503,Houston,TX,US,1-29-2020
336,Java Software Engineer - Big Data,200007049,Chicago,IL,US,1-27-2020
337,Senior Java Software Engineer,200001587,Plano,TX,US,1-28-2020
338,Java Software Engineer - RESTful APIs/Microservices,190114254,Plano,TX,US,2-26-2020
339,Java Software Engineer,190111447,Chicago,IL,US,1-22-2020
340,"Software Engineer, Lead - CTO Accelerator",190110471,Jersey City,NJ,US,1-17-2020
341,Big Data Software Engineer,190084654,Plano,TX,US,2-18-2020
342,Big Data Software Engineer,190084974,Plano,TX,US,2-18-2020
343,Software Engineer Lead - Consumer and Community Banking Controls Technology,200003023,Columbus,OH,US,1-15-2020
344,Sr. Storage Infrastructure Engineer,200002986,Columbus,OH,US,1-13-2020
345,Core Java - Software Engineer,200001036,Wilmington,DE,US,1-17-2020
346,Software Engineer E-Trading,200006748,New York,NY,US,2-18-2020
347,C++ Electronic Trading Core Software Engineer,200001413,Jersey City,NJ,US,2-18-2020
348,Software Automation Engineer,200011185,Chicago,IL,US,2-19-2020
349,"Military Pathways- Direct Hire Program- Consumer and Community Banking – Software Engineer – Wilmington, DE.",200010980,Wilmington,DE,US,2-19-2020
350,Senior Java/J2EE Software Engineer,190098924,New York,NY,US,11-25-2019
351,Network Virtualization Engineer,190107776,Seattle,WA,US,11-22-2019
352,CCB Treasury - Data Engineer - Vice President,190105952,Columbus,OH,US,11-25-2019
353,Office 365 ProPlus Deployment Engineer,190102441,Columbus,OH,US,11-22-2019
354,Software Engineer - Lead Resiliency/Reliability,190102321,Tampa,FL,US,2-25-2020
355,Platform Services - Software Engineer - Observability Engineering,190102458,Plano,TX,US,2-10-2020
356,Machine Learning Engineer - Compliance Technology,190106385,Lewisville,TX,US,2-25-2020
357,Java J2EE Site Reliability Engineering,190106267,Westerville,OH,US,11-18-2019
358,AMP - Software engineer,200010533,New York,NY,US,2-11-2020
359,Software Engineering - Vice President,180095553,Hyderabad,AP,US,1-3-2020
360,Software Engineer-UI,170121417,Plano,TX,US,5-9-2019
361,Lead Software Engineer - Java/J2EE,170073136,Jersey City,NJ,US,5-9-2019
362,Senior Java - Microservices Software Engineer,200011248,Columbus,OH,US,3-2-2020
363,Automation Framework Engineer,200008808,Westerville,OH,US,3-4-2020
